,City,Lat,lng,Max temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Vaini,-21.2,-175.2,86.0,74,20,6.91,TO,1619224097
1,Carnarvon,-24.8667,113.6333,68.0,56,1,8.05,AU,1619224097
2,Vostok,46.4856,135.8833,36.77,97,100,3.91,RU,1619224098
3,Bredasdorp,-34.5322,20.0403,50.0,93,95,2.75,ZA,1619223932
4,Örnsköldsvik,63.2909,18.7153,33.8,60,90,16.11,SE,1619224100
5,Rikitea,-23.1203,-134.9692,79.09,69,100,18.16,PF,1619224100
6,Mar del Plata,-38.0023,-57.5575,69.01,88,75,6.91,AR,1619223935
7,Shelburne,44.0787,-80.2041,57.2,33,1,5.75,CA,1619224101
8,Qaanaaq,77.484,-69.3632,18.12,84,100,5.73,GL,1619224101
9,Hasaki,35.7333,140.8333,62.01,63,20,3.44,JP,1619224101
10,Busselton,-33.65,115.3333,64.0,71,95,1.99,AU,1619224102
11,Aklavik,68.2191,-135.0107,39.2,45,75,3.44,CA,1619224102
12,Chui,-33.6971,-53.4616,66.47,86,11,12.41,UY,1619224102
13,Broken Hill,-31.95,141.4333,60.8,51,85,8.05,AU,1619224103
14,Barcelos,41.5388,-8.6151,59.0,94,75,8.05,PT,1619223905
15,Seka,17.9285,103.9552,88.0,70,56,6.53,TH,1619224106
16,Castro,-24.7911,-50.0119,55.94,73,14,3.04,BR,1619224107
17,Hithadhoo,-0.6,73.0833,82.33,71,20,7.72,MV,1619224108
18,Geraldton,-28.7667,114.6,64.4,63,75,6.91,AU,1619224109
19,Esperance,-33.8667,121.9,57.2,88,100,11.5,AU,1619224109
20,Punta Arenas,-53.15,-70.9167,44.6,93,40,3.44,CL,1619224001
21,Łęczna,51.3012,22.8814,33.8,100,0,8.05,PL,1619224110
22,Bengkulu,-3.8004,102.2655,74.16,88,96,3.6,ID,1619224110
23,Mataura,-46.1927,168.8643,55.0,78,76,3.0,NZ,1619224111
24,Piaçabuçu,-10.4056,-36.4344,78.26,82,51,6.78,BR,1619224111
25,Beloha,-25.1667,45.05,70.0,73,5,11.7,MG,1619224111
26,Yangi Marg`ilon,40.4272,71.7189,48.2,61,37,4.61,UZ,1619224112
27,North Bend,43.4065,-124.2243,54.0,71,75,6.91,US,1619224112
28,Cidreira,-30.1811,-50.2056,70.65,79,1,17.4,BR,1619224112
29,Avarua,-21.2078,-159.775,82.4,74,40,20.71,CK,1619224112
30,Tieling,42.2931,123.8414,58.53,68,85,11.23,CN,1619224113
31,Ushuaia,-54.8,-68.3,42.8,93,75,10.36,AR,1619224067
32,Ardeşen,41.1911,40.9875,50.0,93,0,3.44,TR,1619224114
33,Kuvshinovo,57.0295,34.1725,33.6,85,91,3.58,RU,1619224115
34,Toba,34.4833,136.85,62.01,82,100,7.0,JP,1619224115
35,Boende,-0.2167,20.8667,71.92,98,100,3.56,CD,1619224115
36,Hilo,19.7297,-155.09,82.4,51,75,11.5,US,1619224115
37,Kapaa,22.0752,-159.319,78.8,65,40,14.97,US,1619224116
38,Cape Town,-33.9258,18.4232,59.0,82,0,9.22,ZA,1619224116
39,Presidente Médici,-11.1753,-61.9014,74.07,90,17,2.59,BR,1619224116
40,Hobart,-42.8794,147.3294,57.2,62,75,12.66,AU,1619223898
41,Pevek,69.7008,170.3133,16.12,86,54,0.38,RU,1619224117
42,Cascais,38.6979,-9.4215,62.01,91,45,15.66,PT,1619224118
43,Port-Cartier,50.0334,-66.8654,35.01,100,90,4.61,CA,1619224118
44,Yerbogachën,61.2767,108.0108,34.12,73,70,7.9,RU,1619224118
45,Sobolevo,54.4299,31.8996,33.24,84,42,5.03,RU,1619224119
46,Dikson,73.5069,80.5464,32.2,97,100,16.37,RU,1619224119
47,Puerto Ayora,-0.7393,-90.3518,77.0,95,43,5.01,EC,1619224119
48,Vestmannaeyjar,63.4427,-20.2734,46.31,89,100,18.07,IS,1619224119
49,Kavieng,-2.5744,150.7967,81.66,75,97,3.76,PG,1619224120
50,Hermanus,-34.4187,19.2345,55.0,90,85,1.01,ZA,1619224120
51,Nikolskoye,59.7035,30.7861,37.0,86,40,2.24,RU,1619224120
52,Albany,42.6001,-73.9662,55.4,37,1,9.22,US,1619224121
53,Doda,33.1333,75.5667,48.34,76,3,6.4,IN,1619224121
54,Wellington,-41.2866,174.7756,68.0,49,7,13.8,NZ,1619223889
55,Arrifes,37.7667,-25.7,57.2,72,20,12.66,PT,1619224123
56,Harbour Breton,47.4833,-55.7983,37.67,81,56,23.71,CA,1619224123
57,Lavrentiya,65.5833,-171.0,33.24,81,28,3.04,RU,1619223974
58,Tasiilaq,65.6145,-37.6368,37.4,52,75,18.41,GL,1619224123
59,Norfolk,42.1668,-71.2495,54.0,30,27,17.27,US,1619224123
60,Tianpeng,30.9866,103.9393,68.0,1,80,1.23,CN,1619224124
61,Yarmouth,41.7057,-70.2286,48.99,61,1,11.5,US,1619224124
62,Ilulissat,69.2167,-51.1,33.8,60,100,9.22,GL,1619224124
63,Lagunas,-5.2269,-75.6753,75.04,95,86,1.39,PE,1619224126
64,Bonthe,7.5264,-12.505,79.88,84,100,6.64,SL,1619224127
65,Katsuura,35.1333,140.3,62.01,58,75,5.75,JP,1619224127
66,Saint-Pierre,-21.3393,55.4781,77.0,83,90,19.57,RE,1619223907
67,Sirte,31.2089,16.5887,64.54,85,35,16.91,LY,1619224127
68,Khatanga,71.9667,102.5,32.77,98,100,20.02,RU,1619224128
69,Kruisfontein,-34.0033,24.7314,59.0,92,22,1.99,ZA,1619224128
70,Sechura,-5.5569,-80.8222,74.61,63,6,16.69,PE,1619224128
71,Gouyave,12.1646,-61.7296,80.6,78,20,13.8,GD,1619224128
72,Thompson,55.7435,-97.8558,26.6,39,40,12.66,CA,1619224131
73,Anloga,5.7947,0.8973,84.2,84,40,4.61,GH,1619224131
74,Yellowknife,62.456,-114.3525,17.6,53,75,11.5,CA,1619224132
75,Yulara,-25.2406,130.9889,66.2,42,1,10.36,AU,1619224133
76,Anadyr,64.75,177.4833,23.0,80,0,4.47,RU,1619224133
77,Sokoni,-6.4333,39.55,80.6,78,40,11.5,TZ,1619224133
78,Aden,12.7794,45.0367,80.98,82,4,17.0,YE,1619224127
79,Port Moresby,-9.4431,147.1797,83.39,75,86,1.63,PG,1619224003
80,New Norfolk,-42.7826,147.0587,55.99,78,99,5.01,AU,1619224135
81,Guasdualito,7.2424,-70.7324,84.2,65,45,2.3,VE,1619224135
82,Road Town,18.4167,-64.6167,80.6,74,20,4.61,VG,1619224135
83,Provideniya,64.3833,-173.3,41.07,52,67,4.7,RU,1619224136
84,Mount Gambier,-37.8333,140.7667,57.2,94,75,8.05,AU,1619224136
85,Venice,27.0998,-82.4543,79.0,73,1,4.61,US,1619224064
86,Shimanovsk,52.0,127.7,40.66,32,22,14.76,RU,1619224136
87,Sri Aman,1.2376,111.4621,77.0,94,20,1.61,MY,1619224136
88,Pangnirtung,66.1451,-65.7125,32.99,86,100,4.38,CA,1619224137
89,Atuona,-9.8,-139.0333,80.31,79,35,23.73,PF,1619224036
90,Aswān,24.0934,32.907,81.86,8,0,13.82,EG,1619224138
91,Inírida,3.8653,-67.9239,77.11,90,93,2.62,CO,1619224138
92,Iqaluit,63.7506,-68.5145,28.4,93,90,3.44,CA,1619224139
93,Ponta Delgada,37.7333,-25.6667,57.2,72,20,12.66,PT,1619224139
94,Lorengau,-2.0226,147.2712,81.66,77,82,4.63,PG,1619224139
95,Rexburg,43.826,-111.7897,55.4,30,75,16.11,US,1619224139
96,Kaniv,49.7518,31.46,36.39,82,8,9.93,UA,1619224140
97,Bethel,41.3712,-73.414,60.8,20,1,10.36,US,1619224140
98,Snåase,64.2457,12.3778,29.35,90,61,5.41,NO,1619224140
99,Arezzo,43.4724,11.869,48.99,73,0,3.0,IT,1619224141
100,Upernavik,72.7868,-56.1549,28.24,85,100,3.49,GL,1619224142
101,Talakan,50.3167,130.3667,40.62,34,0,10.36,RU,1619224142
102,Manatí,18.4275,-66.4921,77.0,87,74,5.35,PR,1619224143
103,Florianópolis,-27.6146,-48.5012,73.0,94,40,3.44,BR,1619224143
104,Port Alfred,-33.5906,26.891,66.06,71,0,18.68,ZA,1619224143
105,Hirara,24.8,125.2833,75.2,73,40,17.27,JP,1619224143
106,Bandarbeyla,9.4942,50.8122,82.65,73,91,5.82,SO,1619224144
107,Kasempa,-13.4584,25.8338,63.48,71,54,5.23,ZM,1619224144
108,Saint-Philippe,-21.3585,55.7679,77.0,83,90,19.57,RE,1619224144
109,Petropavlovsk-Kamchatskiy,53.0452,158.6483,42.8,70,69,2.24,RU,1619224105
110,Tuatapere,-46.1333,167.6833,55.0,78,99,3.0,NZ,1619224145
111,Amapá,1.0,-52.0,72.46,99,100,1.52,BR,1619224145
112,Tripoli,32.8752,13.1875,61.36,84,47,12.62,LY,1619224145
113,Oktyabr'skiy,54.4815,53.471,44.87,92,100,8.68,RU,1619224145
114,Bosaso,11.2842,49.1816,84.27,65,18,6.6,SO,1619224146
115,Barrow,71.2906,-156.7887,24.8,80,1,5.75,US,1619224146
116,Pringsewu,-5.3582,104.9744,74.97,89,11,3.89,ID,1619224146
117,Vrangel',42.7297,133.0839,48.13,67,100,9.86,RU,1619224148
118,Kudahuvadhoo,2.6708,72.8944,83.23,65,10,10.71,MV,1619224148
119,Dakar,14.6937,-17.4441,68.0,88,75,18.41,SN,1619224057
120,Maniitsoq,65.4167,-52.9,31.87,73,12,6.85,GL,1619224149
121,Westport,41.1415,-73.3579,60.8,21,1,9.22,US,1619223946
122,Steamboat Springs,40.485,-106.8317,48.2,43,90,9.22,US,1619223893
123,Quatre Cocos,-20.2078,57.7625,78.8,83,40,11.5,MU,1619224149
124,Fairbanks,64.8378,-147.7164,59.0,22,1,9.22,US,1619224149
125,Sudak,44.85,34.9667,49.91,82,74,6.15,UA,1619224150
126,Jamestown,42.097,-79.2353,50.0,43,1,13.8,US,1619224150
127,Chokurdakh,70.6333,147.9167,6.46,86,55,1.43,RU,1619223853
128,Cabo San Lucas,22.8909,-109.9124,82.4,57,20,11.5,MX,1619224150
129,Coquimbo,-29.9533,-71.3436,57.2,82,0,4.61,CL,1619224151
130,Hervey Bay,-25.2986,152.8535,71.01,68,76,4.0,AU,1619224152
131,Port Hardy,50.6996,-127.4199,53.6,58,90,4.61,CA,1619224153
132,Saint George,37.1041,-113.5841,81.0,9,1,23.02,US,1619224153
133,Sassandra,4.95,-6.0833,80.73,85,100,7.23,CI,1619224153
134,Arraial do Cabo,-22.9661,-42.0278,74.46,77,38,14.05,BR,1619224153
135,Bambous Virieux,-20.3428,57.7575,78.8,83,40,11.5,MU,1619224154
136,East London,-33.0153,27.9116,63.59,75,4,8.57,ZA,1619224154
137,Coyhaique,-45.5752,-72.0662,48.2,76,75,6.91,CL,1619224154
138,Bilibino,68.0546,166.4372,23.58,81,97,3.62,RU,1619223888
139,Santa Cruz de la Sierra,-17.8,-63.1667,71.6,94,75,5.75,BO,1619224078
140,Kalmunai,7.4167,81.8167,79.21,83,6,2.64,LK,1619224157
141,Airai,-8.9266,125.4092,67.96,64,12,3.11,TL,1619224157
142,Cravo Norte,6.3017,-70.2041,85.19,50,93,5.39,CO,1619224157
143,Kuala Terengganu,5.3302,103.1408,75.2,94,40,6.91,MY,1619224158
144,San Patricio,28.017,-97.5169,79.0,83,75,20.71,US,1619224158
145,Hong Kong,22.2855,114.1577,77.0,85,40,4.0,HK,1619224035
146,Vila Franca do Campo,37.7167,-25.4333,57.2,72,20,12.66,PT,1619223862
147,Shaoyang,27.2315,111.4525,69.01,86,96,6.11,CN,1619224158
148,Codrington,-38.2667,141.9667,58.84,77,100,11.34,AU,1619224159
149,Butaritari,3.0707,172.7902,82.38,76,96,8.39,KI,1619224159
150,Faanui,-16.4833,-151.75,79.72,76,75,11.68,PF,1619224160
151,Poltavka,54.3663,71.7632,33.66,60,98,8.59,RU,1619224161
152,Havelock,34.8791,-76.9013,62.01,47,40,9.22,US,1619224162
153,Laas,46.6166,10.7002,46.0,65,0,4.61,IT,1619224162
154,Kyzyl,51.7,94.45,34.21,75,100,1.74,RU,1619224163
155,Yatou,37.15,122.3833,50.72,83,100,15.77,CN,1619224163
156,Bijie,27.3125,105.2942,62.33,87,100,5.26,CN,1619224163
157,Severo-Kuril'sk,50.6789,156.125,37.4,88,97,7.9,RU,1619224165
158,Saldanha,-33.0117,17.9442,53.6,82,74,3.44,ZA,1619224165
159,Bizhbulyak,53.6967,54.2642,43.2,91,100,12.73,RU,1619224165
160,Sretensk,52.2453,117.7093,40.23,21,65,3.78,RU,1619224165
161,Bereda,43.2686,-7.5406,55.0,100,96,1.01,ES,1619224166
162,Heinola,61.2056,26.0381,33.8,100,90,3.44,FI,1619224166
163,Manaus,-3.1019,-60.025,77.0,94,75,2.68,BR,1619224166
164,Panguna,-6.3164,155.4848,79.59,62,98,3.8,PG,1619224167
165,Yabrūd,33.9674,36.6574,66.2,26,75,6.91,SY,1619224167
166,Vao,-22.6667,167.4833,75.63,75,79,13.71,NC,1619224172
167,Ahipara,-35.1667,173.1667,66.51,62,36,9.51,NZ,1619224173
168,Klaksvík,62.2266,-6.589,42.8,100,75,4.61,FO,1619224176
169,Coahuayana Viejo,18.7333,-103.6833,84.2,32,1,11.5,MX,1619224177
170,Dunedin,-45.8742,170.5036,57.99,74,75,4.0,NZ,1619224178
171,Touros,-5.1989,-35.4608,78.8,89,40,4.61,BR,1619224040
172,Qaqortoq,60.7167,-46.0333,39.2,65,3,2.3,GL,1619224179
173,Edd,13.9297,41.6925,85.91,55,21,12.93,ER,1619224179
174,Binga,-17.6203,27.3414,66.22,71,0,0.18,ZW,1619224179
175,Port Hedland,-20.3167,118.5667,82.4,18,0,12.66,AU,1619223888
176,Rio Grande,-32.035,-52.0986,66.0,92,2,16.89,BR,1619224180
177,Emerald,-23.5333,148.1667,73.99,28,21,14.97,AU,1619224180
178,Ternate,0.8,127.4,82.99,75,47,5.41,ID,1619224180
179,Ponta do Sol,32.6667,-17.1,61.0,79,52,1.99,PT,1619224181
180,Salinópolis,-0.6136,-47.3561,78.8,86,74,8.9,BR,1619224181
181,Beringovskiy,63.05,179.3167,28.45,85,99,5.73,RU,1619224181
182,Seoul,37.5683,126.9778,62.6,42,0,5.75,KR,1619223971
183,Egvekinot,66.3167,-179.1667,31.62,86,100,2.95,RU,1619224182
184,Camacha,33.0833,-16.3333,64.4,72,40,13.8,PT,1619224182
185,Padang,-0.9492,100.3543,75.2,88,20,2.3,ID,1619224098
186,Narsaq,60.9167,-46.05,39.2,65,1,2.3,GL,1619224182
187,Chapais,49.7834,-74.8492,46.4,39,1,8.05,CA,1619224182
188,Fort Nelson,58.8053,-122.7002,35.6,41,75,5.75,CA,1619224183
189,Edgewood,39.4187,-76.2944,60.8,31,1,9.22,US,1619224183
190,Kangasala,61.4638,24.076,35.01,86,90,10.36,FI,1619224183
191,Vilyuysk,63.7553,121.6247,23.23,87,75,3.69,RU,1619224184
192,Lyngdal,58.1376,7.07,42.01,63,18,5.99,NO,1619224184
193,Mozelos,41.8677,-8.3978,60.01,100,75,4.61,PT,1619224184
194,Malartic,48.1335,-78.1328,59.0,26,40,8.05,CA,1619224184
195,Alofi,-19.0595,-169.9187,86.0,70,12,9.22,NU,1619224185
196,Orlik,52.5178,99.825,24.51,91,100,3.15,RU,1619224185
197,Zhangye,38.9342,100.4517,40.28,79,99,1.25,CN,1619224187
198,Otradnoye,59.7775,30.8181,37.0,86,40,2.24,RU,1619224187
199,Sørland,67.667,12.6934,36.88,52,99,22.28,NO,1619224187
200,Corigliano Calabro,39.595,16.5177,53.01,100,90,10.36,IT,1619224188
201,Mossamedes,-15.1961,12.1522,77.74,77,9,2.06,AO,1619224188
202,Ngunguru,-35.6167,174.5,71.01,67,3,5.99,NZ,1619224188
203,Mandera,3.9366,41.867,80.04,71,93,5.53,KE,1619224188
204,Avera,33.194,-82.5271,64.4,39,1,3.44,US,1619224189
205,Belyy Yar,53.6039,91.3903,28.4,59,0,4.47,RU,1619224189
206,Leningradskiy,69.3833,178.4167,29.08,83,99,3.71,RU,1619224190
207,Torbat-e Jām,35.244,60.6225,63.37,13,24,10.33,IR,1619224191
208,Clyde River,70.4692,-68.5914,15.8,92,90,2.3,CA,1619224191
209,Gal'bshtadt,53.2264,78.9845,32.68,78,4,6.35,RU,1619224191
210,Zaraza,9.3503,-65.3245,81.19,62,29,11.43,VE,1619224192
211,Kavaratti,10.5669,72.642,84.22,69,28,6.6,IN,1619224192
212,Lebu,-37.6167,-73.65,52.95,92,19,6.35,CL,1619224192
213,Saint Paul Harbor,57.79,-152.4072,41.0,81,90,5.75,US,1619224193
214,Poum,-20.2333,164.0167,79.68,76,95,5.79,NC,1619224193
215,Forsytheganj,52.6333,29.7333,34.27,87,39,9.13,BY,1619224197
216,Kālīnagar,28.6167,80.1,70.92,46,23,6.93,IN,1619224199
217,Yagodnoye,62.55,149.6667,15.73,78,100,7.34,RU,1619224200
218,Grindavik,63.8424,-22.4338,46.4,87,90,9.22,IS,1619224201
219,Wattegama,6.7989,81.4808,75.7,89,10,2.17,LK,1619224202
220,Norman Wells,65.282,-126.8329,33.8,37,75,14.97,CA,1619224203
221,Kaitangata,-46.2817,169.8464,57.99,64,100,1.01,NZ,1619224203
222,Tiksi,71.6872,128.8694,15.44,82,100,11.41,RU,1619224204
223,George Town,5.4112,100.3354,78.01,94,40,4.61,MY,1619224126
224,Caravelas,-17.7125,-39.2481,73.71,85,0,4.29,BR,1619224207
225,Cherskiy,68.75,161.3,25.43,90,100,5.28,RU,1619224208
226,Arrondissement de Lannion,48.75,-3.4167,48.2,81,0,5.75,FR,1619224208
227,Hamilton,39.1834,-84.5333,55.99,47,90,5.75,US,1619223977
228,Ponnāni,10.767,75.9252,78.8,83,20,2.3,IN,1619224210
229,Zyryanka,65.75,150.85,14.23,90,100,23.17,RU,1619224211
230,Cabedelo,-6.9811,-34.8339,78.8,89,20,5.75,BR,1619224211
231,San Jerónimo,-11.9472,-75.2829,48.92,89,91,4.41,PE,1619224211
232,Nouadhibou,20.931,-17.0347,64.4,88,0,17.27,MR,1619224211
233,Alugan,12.2188,125.4808,83.14,75,100,5.57,PH,1619224212
234,Pangkalanbuun,-2.6833,111.6167,83.5,68,90,2.82,ID,1619224212
235,Nizhneangarsk,55.7833,109.55,30.97,71,100,3.62,RU,1619224212
236,Acaraú,-2.8856,-40.12,78.42,84,66,9.8,BR,1619224213
237,Port Elizabeth,-33.918,25.5701,60.8,88,0,2.3,ZA,1619224214
238,Tuktoyaktuk,69.4541,-133.0374,17.6,73,75,9.22,CA,1619224215
239,Bahía Honda,22.9036,-83.1592,78.39,74,3,11.03,CU,1619224216
240,Lincoln,40.8,-96.667,64.4,39,1,4.41,US,1619224145
241,Gillette,44.2911,-105.5022,33.8,69,90,10.36,US,1619224021
242,Bella Union,-30.2752,-57.6007,67.73,80,100,5.95,UY,1619224219
243,Rosario,-32.9468,-60.6393,68.0,88,75,8.05,AR,1619224152
244,Labuhan,-6.8844,112.2051,80.13,74,2,5.01,ID,1619224220
245,Agüimes,27.9054,-15.4461,72.0,68,75,9.22,ES,1619224221
246,Pitimbu,-7.4706,-34.8086,78.8,89,20,5.75,BR,1619224221
247,Auki,-8.7676,160.7034,85.14,67,44,2.24,SB,1619224221
248,Muskegon,43.3,-86.1334,55.4,30,75,8.05,US,1619224221
249,Longyearbyen,78.2186,15.6401,15.8,67,75,8.05,SJ,1619224222
250,Bålsta,59.5671,17.5278,35.6,55,0,11.5,SE,1619224222
251,Damietta,31.4165,31.8133,64.4,88,0,10.36,EG,1619224222
252,Kabinda,-6.1333,24.4833,67.66,88,93,1.92,CD,1619224223
253,Abonnema,4.7084,6.7931,80.6,83,40,2.3,NG,1619224223
254,Coelho Neto,-4.2567,-43.0128,74.21,96,100,2.53,BR,1619224224
255,Souillac,-20.5167,57.5167,78.8,83,40,11.5,MU,1619224225
256,Bluff,-46.6,168.3333,55.99,78,99,1.99,NZ,1619224225
257,Guerrero Negro,27.9769,-114.0611,60.98,71,0,22.06,MX,1619224225
258,Sibu,2.3,111.8167,80.6,83,20,4.61,MY,1619224226
259,Kayerkan,69.3497,87.7602,29.62,94,100,22.68,RU,1619224226
260,Bulancak,40.9372,38.2291,51.8,82,0,3.44,TR,1619224226
261,Port Augusta,-32.5,137.7667,64.4,68,40,5.75,AU,1619224227
262,Krasnosel'kup,65.7,82.4667,30.97,91,100,16.44,RU,1619224227
263,Hokitika,-42.7167,170.9667,58.68,73,57,5.44,NZ,1619224228
264,Tessalit,20.1986,1.0114,84.58,8,0,7.14,ML,1619224229
265,Fortuna,40.5982,-124.1573,55.99,87,20,12.66,US,1619224231
266,Umeå,63.8284,20.2597,33.8,86,90,17.27,SE,1619224231
267,Ola,59.5833,151.2833,28.22,84,95,2.44,RU,1619224231
268,Verkhnevilyuysk,63.4453,120.3167,30.18,89,99,4.38,RU,1619224232
269,Kloulklubed,7.0419,134.2556,86.0,74,40,10.36,PW,1619224232
270,San Angelo,31.4638,-100.437,84.0,9,44,3.0,US,1619224095
271,Vanino,49.0869,140.2543,39.58,68,99,8.48,RU,1619224233
272,Kangaatsiaq,68.3065,-53.4641,28.67,82,100,5.44,GL,1619224233
273,Yamada,39.4667,141.95,59.25,51,99,8.01,JP,1619224233
274,Sittwe,20.15,92.9,81.48,80,46,5.14,MM,1619224234
275,Tashtagol,52.7657,87.8894,29.77,82,96,3.0,RU,1619224234
276,Gull Lake,50.1001,-108.4847,35.6,27,20,3.44,CA,1619224234
